"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 05 00:05:51 GMT 2024","Thu Sep 05 00:05:51 GMT 2024","527","","Дымовые тесты - Обработки - ФормаОбъекта","","","","Открытие формы обработки ""Автотесты"" (Автотесты)",""
"passed","Thu Sep 05 00:04:35 GMT 2024","Thu Sep 05 00:04:36 GMT 2024","767","","Дымовые тесты - Справочники - Копирование","","","","Копирование элемента справочника ""Затраты"" (Затраты)",""
"passed","Thu Sep 05 00:05:49 GMT 2024","Thu Sep 05 00:05:49 GMT 2024","450","","Дымовые тесты - Обработки - ФормаОбъекта","","","","Открытие формы обработки ""Расчет заказа"" (РасчетЗаказа)",""
"passed","Thu Sep 05 00:05:19 GMT 2024","Thu Sep 05 00:05:19 GMT 2024","451","","Дымовые тесты - Отчеты - ФормаОбъекта","","","","Открытие формы отчета ""Продажа товара"" (ПродажаТовара)",""
"passed","Thu Sep 05 00:05:31 GMT 2024","Thu Sep 05 00:05:32 GMT 2024","443","","Дымовые тесты - Обработки - ФормаОбъекта","","","","Открытие формы обработки ""Перепроведение приходных накладных"" (ПерепроведениеПриходныхНакладных)",""
"passed","Thu Sep 05 00:04:05 GMT 2024","Thu Sep 05 00:04:05 GMT 2024","463","","Дымовые тесты - Справочники - ФормаОбъекта","","","","Открытие формы справочника ""Банковские счета"" (БанковскиеСчета)",""
"passed","Thu Sep 05 00:05:47 GMT 2024","Thu Sep 05 00:05:47 GMT 2024","448","","Дымовые тесты - Обработки - ФормаОбъекта","","","","Открытие формы обработки ""Отсутствие модальности"" (ОтсутствиеМодальности)",""
"passed","Thu Sep 05 00:04:41 GMT 2024","Thu Sep 05 00:04:42 GMT 2024","580","","Дымовые тесты - Справочники - Копирование","","","","Копирование элемента справочника ""Контрагенты"" (Контрагенты)",""
"passed","Thu Sep 05 00:05:05 GMT 2024","Thu Sep 05 00:05:07 GMT 2024","1097","","Дымовые тесты - Документы - Запись","","","","Запись элемента документа ""Перемещение товара"" (ПеремещениеТовара)",""
"passed","Thu Sep 05 00:05:52 GMT 2024","Thu Sep 05 00:05:55 GMT 2024","2978","","Проверка Справочников на Создание","","","","Тестна создание Сотрудника, и его удаление",""
"passed","Thu Sep 05 00:05:25 GMT 2024","Thu Sep 05 00:05:26 GMT 2024","443","","Дымовые тесты - Обработки - ФормаОбъекта","","","","Открытие формы обработки ""Создание номенклатуры"" (СозданиеНоменклатуры)",""
"passed","Thu Sep 05 00:04:01 GMT 2024","Thu Sep 05 00:04:02 GMT 2024","521","","Дымовые тесты - Справочники - ФормаСписка","","","","Открытие формы списка справочника ""Банковские счета"" (БанковскиеСчета)",""
"passed","Thu Sep 05 00:05:48 GMT 2024","Thu Sep 05 00:05:49 GMT 2024","469","","Дымовые тесты - Обработки - ФормаОбъекта","","","","Открытие формы обработки ""Установка класса номенклатуры"" (УстановкаКлассаНоменклатуры)",""
"passed","Thu Sep 05 00:05:11 GMT 2024","Thu Sep 05 00:05:11 GMT 2024","625","","Дымовые тесты - Документы - Копирование","","","","Копирование элемента документа ""Продажа уцененного товара"" (ПродажаУцененногоТовара)",""
"passed","Thu Sep 05 00:05:55 GMT 2024","Thu Sep 05 00:05:57 GMT 2024","1788","","Проверка Справочников на Создание","","","","закрытие клиента Тестирования",""
"passed","Thu Sep 05 00:04:16 GMT 2024","Thu Sep 05 00:04:17 GMT 2024","950","","Дымовые тесты - Справочники - Запись","","","","Запись элемента справочника ""Склады"" (Склады)",""
"passed","Thu Sep 05 00:05:57 GMT 2024","Thu Sep 05 00:06:02 GMT 2024","5331","","<Проверка Расходной Накладной на создание и проведение>","","","","<описание сценария>120,00",""
"passed","Thu Sep 05 00:04:53 GMT 2024","Thu Sep 05 00:04:53 GMT 2024","471","","Дымовые тесты - Документы - ФормаОбъекта","","","","Открытие формы документа ""Перемещение товара"" (ПеремещениеТовара)",""
"passed","Thu Sep 05 00:04:49 GMT 2024","Thu Sep 05 00:04:49 GMT 2024","489","","Дымовые тесты - Документы - ФормаОбъекта","","","","Открытие формы документа ""Продажа уцененного товара"" (ПродажаУцененногоТовара)",""
"passed","Thu Sep 05 00:05:23 GMT 2024","Thu Sep 05 00:05:23 GMT 2024","427","","Дымовые тесты - Обработки - ФормаОбъекта","","","","Открытие формы обработки ""Управление константами"" (УправлениеКонстантами)",""
"passed","Thu Sep 05 00:05:09 GMT 2024","Thu Sep 05 00:05:10 GMT 2024","879","","Дымовые тесты - Документы - Копирование","","","","Копирование элемента документа ""Уценка товара"" (УценкаТовара)",""
"passed","Thu Sep 05 00:05:21 GMT 2024","Thu Sep 05 00:05:22 GMT 2024","476","","Дымовые тесты - Отчеты - ФормаОбъекта","","","","Открытие формы отчета ""Продажи сотрудников на филиале"" (ПродажиСотрудниковНаФилиале)",""
"passed","Thu Sep 05 00:04:10 GMT 2024","Thu Sep 05 00:04:11 GMT 2024","806","","Дымовые тесты - Справочники - Запись","","","","Запись элемента справочника ""Затраты"" (Затраты)",""
"passed","Thu Sep 05 00:04:04 GMT 2024","Thu Sep 05 00:04:04 GMT 2024","480","","Дымовые тесты - Справочники - ФормаОбъекта","","","","Открытие формы справочника ""Филиалы"" (Филиалы)",""
"passed","Thu Sep 05 00:05:27 GMT 2024","Thu Sep 05 00:05:27 GMT 2024","451","","Дымовые тесты - Обработки - ФормаОбъекта","","","","Открытие формы обработки ""День 8 Задание 5"" (День8Задание5)",""
"passed","Thu Sep 05 00:05:32 GMT 2024","Thu Sep 05 00:05:32 GMT 2024","441","","Дымовые тесты - Обработки - ФормаОбъекта","","","","Открытие формы обработки ""Перепроведение расходных накладных"" (ПерепроведениеРасходныхНакладных)",""
"passed","Thu Sep 05 00:04:45 GMT 2024","Thu Sep 05 00:04:45 GMT 2024","578","","Дымовые тесты - Справочники - Копирование","","","","Копирование элемента справочника ""Банки"" (Банки)",""
"passed","Thu Sep 05 00:05:33 GMT 2024","Thu Sep 05 00:05:33 GMT 2024","433","","Дымовые тесты - Обработки - ФормаОбъекта","","","","Открытие формы обработки ""Переоценка уцененного товара"" (ПереоценкаУцененногоТовара)",""
"passed","Thu Sep 05 00:04:42 GMT 2024","Thu Sep 05 00:04:43 GMT 2024","631","","Дымовые тесты - Справочники - Копирование","","","","Копирование элемента справочника ""Филиалы"" (Филиалы)",""
"passed","Thu Sep 05 00:04:14 GMT 2024","Thu Sep 05 00:04:16 GMT 2024","1710","","Дымовые тесты - Справочники - Запись","","","","Запись элемента справочника ""Номенклатура"" (Номенклатура)",""
"passed","Thu Sep 05 00:04:26 GMT 2024","Thu Sep 05 00:04:28 GMT 2024","1754","","Дымовые тесты - Справочники - Запись","","","","Запись элемента справочника ""Банки"" (Банки)",""
"passed","Thu Sep 05 00:05:50 GMT 2024","Thu Sep 05 00:05:51 GMT 2024","656","","Дымовые тесты - Обработки - ФормаОбъекта","","","","Открытие формы обработки ""Универсальный обмен данными в формате XML"" (УниверсальныйОбменДаннымиXML)",""
"passed","Thu Sep 05 00:04:28 GMT 2024","Thu Sep 05 00:04:30 GMT 2024","1662","","Дымовые тесты - Справочники - Запись","","","","Запись элемента справочника ""Классификатор свойств товара"" (КлассификаторСвойствТовара)",""
"passed","Thu Sep 05 00:05:03 GMT 2024","Thu Sep 05 00:05:05 GMT 2024","1754","","Дымовые тесты - Документы - Запись","","","","Запись элемента документа ""Заказ поставщику"" (ЗаказПоставщику)",""
"passed","Thu Sep 05 04:39:54 GMT 2024","Thu Sep 05 04:39:55 GMT 2024","255","step_definitions","test_get_employee_data","","","","test_get_a_single_user_data","/home/runner/work/github-action-with-allure-report/github-action-with-allure-report/tests/features/get_user_data.feature: Get a single user data"
"passed","Thu Sep 05 00:04:04 GMT 2024","Thu Sep 05 00:04:05 GMT 2024","450","","Дымовые тесты - Справочники - ФормаОбъекта","","","","Открытие формы справочника ""Юридические лица"" (ЮридическиеЛица)",""
"passed","Thu Sep 05 00:05:21 GMT 2024","Thu Sep 05 00:05:21 GMT 2024","487","","Дымовые тесты - Отчеты - ФормаОбъекта","","","","Открытие формы отчета ""Остатки товара"" (ОстаткиТовара)",""
"passed","Thu Sep 05 00:04:46 GMT 2024","Thu Sep 05 00:04:47 GMT 2024","473","","Дымовые тесты - Документы - ФормаОбъекта","","","","Открытие формы документа ""Приходная накладная"" (ПриходнаяНакладная)",""
"passed","Thu Sep 05 00:05:26 GMT 2024","Thu Sep 05 00:05:26 GMT 2024","443","","Дымовые тесты - Обработки - ФормаОбъекта","","","","Открытие формы обработки ""Открытие элемента справочника"" (ОткрытиеЭлементаСправочника)",""
"passed","Thu Sep 05 00:04:05 GMT 2024","Thu Sep 05 00:04:08 GMT 2024","2050","","Дымовые тесты - Справочники - Запись","","","","Запись элемента справочника ""Города"" (Города)",""
"passed","Thu Sep 05 00:05:38 GMT 2024","Thu Sep 05 00:05:38 GMT 2024","443","","Дымовые тесты - Обработки - ФормаОбъекта","","","","Открытие формы обработки ""Запрос списка товаров"" (ЗапросСпискаТоваров)",""
"passed","Thu Sep 05 00:04:53 GMT 2024","Thu Sep 05 00:04:55 GMT 2024","1122","","Дымовые тесты - Документы - Запись","","","","Запись элемента документа ""Приходная накладная"" (ПриходнаяНакладная)",""
"passed","Thu Sep 05 00:04:57 GMT 2024","Thu Sep 05 00:04:59 GMT 2024","1630","","Дымовые тесты - Документы - Запись","","","","Запись элемента документа ""Уценка товара"" (УценкаТовара)",""
"passed","Thu Sep 05 00:05:07 GMT 2024","Thu Sep 05 00:05:07 GMT 2024","493","","Дымовые тесты - Документы - Запись","","","","Запись элемента документа """" (Документ1)",""
"passed","Thu Sep 05 00:05:08 GMT 2024","Thu Sep 05 00:05:09 GMT 2024","598","","Дымовые тесты - Документы - Копирование","","","","Копирование элемента документа ""Установка цен номенклатуры"" (УстановкаЦенНоменклатуры)",""
"passed","Thu Sep 05 00:04:08 GMT 2024","Thu Sep 05 00:04:10 GMT 2024","1869","","Дымовые тесты - Справочники - Запись","","","","Запись элемента группы справочника ""Затраты"" (Затраты)",""
"passed","Thu Sep 05 00:05:39 GMT 2024","Thu Sep 05 00:05:39 GMT 2024","459","","Дымовые тесты - Обработки - ФормаОбъекта","","","","Открытие формы обработки ""Запрос списка городов"" (ЗапросСпискаГородов)",""
"passed","Thu Sep 05 00:05:13 GMT 2024","Thu Sep 05 00:05:14 GMT 2024","625","","Дымовые тесты - Документы - Копирование","","","","Копирование элемента документа ""Перемещение товара"" (ПеремещениеТовара)",""
"passed","Thu Sep 05 00:04:40 GMT 2024","Thu Sep 05 00:04:40 GMT 2024","581","","Дымовые тесты - Справочники - Копирование","","","","Копирование элемента справочника ""Склады"" (Склады)",""
"failed","Thu Sep 05 00:04:50 GMT 2024","Thu Sep 05 00:04:53 GMT 2024","2526","","Дымовые тесты - Документы - ФормаОбъекта","","","","Открытие формы документа ""Снятие с заказа"" (СнятиеСЗаказа)",""
"passed","Thu Sep 05 00:05:12 GMT 2024","Thu Sep 05 00:05:13 GMT 2024","500","","Дымовые тесты - Документы - Копирование","","","","Копирование элемента документа ""Снятие с заказа"" (СнятиеСЗаказа)",""
"passed","Thu Sep 05 00:04:02 GMT 2024","Thu Sep 05 00:04:02 GMT 2024","450","","Дымовые тесты - Справочники - ФормаОбъекта","","","","Открытие формы справочника ""Города"" (Города)",""
"passed","Thu Sep 05 00:05:24 GMT 2024","Thu Sep 05 00:05:24 GMT 2024","447","","Дымовые тесты - Обработки - ФормаОбъекта","","","","Открытие формы обработки ""Создание юридического лица"" (СозданиеЮридическогоЛица)",""
"passed","Thu Sep 05 00:04:21 GMT 2024","Thu Sep 05 00:04:22 GMT 2024","850","","Дымовые тесты - Справочники - Запись","","","","Запись элемента справочника ""Филиалы"" (Филиалы)",""
"passed","Thu Sep 05 00:05:01 GMT 2024","Thu Sep 05 00:05:03 GMT 2024","1847","","Дымовые тесты - Документы - Запись","","","","Запись элемента документа ""Продажа уцененного товара"" (ПродажаУцененногоТовара)",""
