"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Спр. Номенклатура, форма списка, создать копированем","1","","0","0","<описание сценария>","0"
"0","Тест отчёт Выпуски инпекторов, сформировать","0","","1","0","Тест нажатия кнопки всех кнопочек отчёта Выпуски инпекторов","0"
"0","док.Приходная накладная форма списка","1","","0","0","нажимаем ""Создать на основании расход со счёта""","0"
"0","Док.Поступление на счёт форма списка","1","","0","0","Док.Поступление на счёт форма списка кнопка создать по шаблону","0"
"0","Подсистема клиенты> Все отчёты > форма","0","","1","0","Подсистема клиенты> Все отчёты > форма выбора отчётов","0"
"0","Переход в справочник контрагенты и открытие счёта учёта","1","","0","0","Открыть счёт учёта","0"
"0","Док.Расходная накладная Кнопка изменить","1","","0","0","<описание сценария>","0"
"0","док. Приходная накладная форма элемента","1","","0","0","<описание сценария>","0"
"0","Док. Расход со счёта, форма списка","1","","0","0","Док. Расход со счёта, форма списка, кнопки ""создать копированием"",""Заполнение"", ""Отчёты""","0"
"0","Отчёт Доходы и Расходы","1","","0","0","открываю отчёт Доходы и расходы, нажимаю сформировать","0"
"0","Спр.Организации","1","","0","0","Спр.Организации","0"
"0","Спр.Порталы","1","","0","0","<описание сценария>","0"
"0","док.Расход из кассы","0","","1","0","док.Расход из кассы","0"
"0","Обработка Заполнение пропусков","1","","0","0","заполнение пропуска на сайте","0"
"0","Спр.ОУ тест фильтрации","1","","0","0","<описание сценария>","0"
"0","Спр. Контрагенты> форма списка> Купить > заказ поставщику","1","","0","0","Открытие спарвочника, нажатие кнопки.","0"
"0","спр.Реестры > создать элемент","1","","0","0","<описание сценария>","0"
"0","Спр.Органы выдачи ПТС Создание элемента","1","","0","0","<описание сценария>","0"
"0","Тест ""Реестр ТПО(ТП Бухгалтерия)"", открытие формы, кнопка сформировать, кнопка отправить","0","","1","0","Тест формирования отчёта ""Реестр ТПО(ТП Бухгалтерия)""","0"
"0","Док.Перемещение денежных средств","0","","1","0","Док.Перемещение","0"
"0","Док.Корректировка долга> Кнопка заполнить на основании","1","","0","0","открываю корректировку, нажимаю на поле покупатель","0"
"0","спр.Статусы Информации по авто > создание элемента","0","","1","0","спр.Статусы Информации по авто > создание элемента","0"
"0","док.Расход из кассы(подотчётнику) с контролем","0","","1","0","док.Расход из кассы(подотчётнику) с контролем","0"
"0","Тест Конпки Создать рассылку отчётов","1","","0","0","<описание сценария>","0"
"0","Док.расход со счёта форма списка, фильтрация","1","","0","0","Док.расход со счёта форма списка, фильтрация","0"
"0","Справочник информация по авто > Форма элемента> ссылка на реестр","1","","0","0","открытие реестра через элемент справочника ИПА","0"
"0","Док. расходная Накладная >  кнопка Заполнить на основании","1","","0","0","<описание сценария>","0"
"0","СПР.СВХ создание","0","","1","0","Создать элемент СПР.СВХ","0"
"0","открыть отчёт расчёты с персоналом, сформировать с разными настройками","1","","0","0","Открываю","0"
"0","Тест создания элемента","1","","0","0","<описание сценария>","0"
"0","Спраочник Виды начислений и удержаний","0","","1","0","тест Спр.Виды начислений и удержаний","0"
"0","док. Счёт на оплату> форма элемента> тест кнопок изменить","1","","0","0","Открытие элемента счёт на оплату, переход к кнопке изменить>  установить цены по виду","0"
"0","док.декларация> создание элемента","1","","0","0","открытие док. декларация > создание элемента","0"
"0","док.Групповое поступление","1","","0","0","открыть групповое поступление, проверить кнопки подгруппы изменить","0"
"0","Док. Приходная накладная > Печать > Приходная накладная(в розничных ценах)","1","","0","0","<описание сценария>","0"
"0","спр.Грузополучатели > создать и заполнитьэлемент","1","","0","0","<описание сценария>","0"
"0","Док.Заказ поставщику","1","","0","0","Док.Заказ поставщику, создание элемента","0"
"0","Спр. Контрагенты> кнопка телефонный звонок","1","","0","0","<описание сценария>","0"
"0","Тест Конпки Создать рассылку отчётов","1","","0","0","Создание статуса Авто","0"
"0","спр.Марки ОУ создание","1","","0","0","<описание сценария>","0"
"0","Док.Поступление на счёт форма списка","1","","0","0","Док.Поступление на счёт форма списка, конпка сформировать отчет","0"
"0","Док. Реестры","1","","0","0","<описание сценария>","0"
"0","Тест Кнопки Создать Вложение в Справочнике ОУ","1","","0","0","","0"
"0","док. Расходная накладная тест на сложение сумм","0","","1","0","Док. расходная накладная, тест на сложение сумм","0"
"0","Док.Расходная накладная","1","","0","0","<описание сценария>","0"
"0","Отчёт Расход денег","1","","0","0","Подсистема финансы> Денежные средства> Сформировать отчёт","0"
"0","Элемент справочник информация по авто > кнопка Оплатить","1","","0","0","Прикрепление фаила","0"
"0","Отчёт ""Долги""","0","","1","0","<описание сценария>","0"
"0","спр.Номенклатура > Создать расходную накладную","1","","0","0","открыть спр.номенклатура, создать расходную накладную","0"
"0","Открыть форму ""Ещё больше возможностей""","1","","0","0","Открыть форму ""Ещё больше возможностей""","0"
"0","Спр.Классификаторы ТН Вэд, создание","0","","1","0","<описание сценария>","0"
"0","Тест Конпки отправить","1","","0","0","<описание сценария>","0"
"0","Тест всех кнопок вкладки Свойства Справочника ИПА","1","","0","0","<описание сценария>","0"
"0","Спр.Брокеры форма элемента","1","","0","0","<описание сценария>","0"
"0","Обработка.Обмен с банком","1","","0","0","Обработка.Обмен с банком","0"
"0","Создание Контрагента Через Информацию По Авто","1","","0","0","Создание контрагента","0"
"0","Тест Кнопки Создать ТС в Справочнике ОУ","1","","0","0","<описание сценария>","0"
"0","спр.ИПА Кнопка перейти в декларацию","1","","0","0","Нажать кнопку перейти в декларацию в справ. ИПА","0"
"0","Тест всех кнопок вкладки Фаилы Справочника ИПА","1","","0","0","Нажимаю все кнопки вкладки фалиы","0"
"0","док. Счёт на оплату> форма элемента> заполнение поля клиент","1","","0","0","Открытиен элемента счёт на оплату, заполнение поля клиентянянян","0"
"0","Спр.Виды цен, создать","1","","0","0","Спр.Виды цен создать новый элемент","0"
"0","спр.Маршруты создание элемента","1","","0","0","спр.Маршруты","0"
"0","Спр.реестры Форма элемента, печать","1","","0","0","<описание сценария>","0"
"0","<описание фичи>","1","","0","0","<описание сценария>","0"
"0","спр.Виды информации по авто","1","","0","0","открыть и создать элемент спра информации по авто","0"
"0","Спр.Валюты","1","","0","0","спр.валюты > загрузить курсы","0"
"0","док.Счёт на оплату, форма элемента","1","","0","0","док.Счёт на оплату, форма элемента","0"
"0","Док.Поступление в кассу","0","","1","0","Док.Поступление в кассу ввод ТЧ","0"
"0","Док.возвраты покупателей","1","","0","0","Док.возвраты покупателей, сложение сумм","0"
"0","Док.Заказ покупателя","1","","0","0","Док.Заказ покупателя, выбрать организацию","0"
"0","Тест ""Выпуски инпекторов"", открытие формы, кнопка сформировать, кнопка отправить","1","","0","0","Тест формирования отчёта ""Выпуски инпекторов""","0"
"0","Спр.ОУ тест поиска","1","","0","0","<описание сценария>","0"
"0","Тест создания элемента справочника на авто с физлицом","1","","0","0","Тест на изменение физлица","0"
"0","Докуменит.Выпуск ГДТ","0","","1","0","<описание сценария>","0"
"0","Док.Поступление на счёт форма списка","1","","0","0","Док.Поступление на счёт форма списка, фильтрация","0"
"0","Док.Заказы покупателей > Форма элемента > Возврат Поставщику","1","","0","0","<описание сценария>","0"
"0","Проверка подбора физ лица","1","","0","0","<описание сценария>","0"
"0","Отчёты (Вхаиморасчёты с клиентами)","1","","0","0","<описание сценария>","0"
"0","Тест всех кнопок вкладки Глонас/СБКТС Справочника ИПА","1","","0","0","<описание сценария>","0"
"0","Док.Заказ покупателя","1","","0","0","Док.Заказ покупателя, нажать  тч. установить цены по виду","0"
"0","Док.Список > Форма спискка","1","","0","0","<описание сценария>","0"
"0","Документы > Заявка сбктс > создание и заполнение","1","","0","0","Создание заявки, проведение, отмена проведения","0"
"0","Тест Кнопки выбора Кузова элемента справочника ИПА","1","","0","0","Захожу в спавочник ИПА, нажимаю кнопку выбора кузова","0"
"0","Док.БанкИКасса создание послепления в кассу","0","","1","0","<описание сценария>","0"
"0","Док.Расходная накладная Создать на основании","1","","0","0","<описание сценария>","0"
"0","Док.Заказ покупателя","1","","0","0","Док.Заказ покупателя, нажать печать","0"
"0","подсисистема клиент > Отчёт Взаимозачёты","0","","1","0","подсисистема клиет > отчёты, Взаимозачёты","0"
"0","док. Счёт на оплату> форма элемента> тест кнопок изменить","1","","0","0","Открытие","0"
"0","док. Документы по кадрам, открытие формы","1","","0","0","док.Документы по кадрам открытие формы","0"
"0","Док.Корректировка > Поле операция","1","","0","0","Открываю док.Корректировку долга > поле операция","0"
"0","спр.Центры сертификации","0","","1","0","спр.Центры сертификации","0"
"0","Док.Расходная накладная заполнение.","0","","1","0","Заполнение справочника клиенты","0"
"0","СПР.ОУ создание элементов","1","","0","0","<описание сценария>","0"
"0","Тест справочник ИПА","1","","0","0","Создание напоминания","0"
"0","Тест Расчётная ведомость, сформировать","1","","0","0","Тест нажатия кнопки сформировать Рачётной ведомости","0"
"0","Дымовые тесты - Справочники - ФормаСписка","1","","0","0","Открытие формы списка справочника ""Графики работы"" (ГрафикиРаботы)","0"
"0","Спр.Пользователи сервиса, создать элемент","1","","0","0","Спр.Пользователи сервиса, создать элемент","0"
"0","Тест отчёт ТП, открытие формы, кнопка сформировать","0","","1","0","Тест формирования отчёта ""Отчёт ТП""","0"
"0","Обр.Групповое начисление","1","","0","0","Обр.Групповое начисление","0"
"0","док.Табели, форма списка, форма элемента","1","","0","0","док.Табели, форма элемента","0"
"0","Документы > Заявка сбктс > Долполнительно > групповое Редактирование","1","","0","0","<описание сценария>","0"
"0","спр.Лаборатории","0","","1","0","спр.Лаборатории","0"
"0","док.Приём на работу","1","","0","0","док.Приём на работу, создать элемент","0"
"0","Док.Расход из кассы(На расходы) с контролем","0","","1","0","Док.Расход из кассы(На расходы) с контролем","0"
"0","Док.Заказы покупателей > Форма  списка > кнопка создать по шаблону","1","","0","0","док.Заказы покупателей > Форма  списка > кнопка создать по шаблону","0"
"0","Спр.Модели кузовов Создание элемента","0","","1","0","<описание сценария>","0"
"0","док.Документы по зарплате","1","","0","0","док. документы по зарплате форма списка, тест кнопок создания на основании","0"
"0","док.Расход из кассы(Зарплата сотруднику)","0","","1","0","док.Расход из кассы","0"
"0","Док.Отчёт Агента> создание","1","","0","0","Запонение шапки","0"
"0","Документы > Заявка сбктс > отправить на печать","1","","0","0","Создание заявки, отправка на печать","0"
"0","док. Зарплата платёжные ведомости","0","","1","0","тест фильтрации","0"
"0","Справочник ИПА","1","","0","0","<описание сценария>","0"
"0","Спр.Органы выдачи паспорта Создание","0","","1","0","<описание сценария>","0"
"0","Док.Декларации Форма списка","1","","0","0","Тест выбора товара","0"
"0","Тест ""оформленные ТПО Альянс брокер"", открытие формы, кнопка сформировать","0","","1","0","Тест формирования отчёта ""оформленные ТПО Альянс брокер""","0"
"0","Документ счёт на оплату, форма списка","1","","0","0","Запускаеим док. Счёт на полату, нажимаем кнопку создать копированием","0"
"0","Тест отчёт ""реестр Оформленных ТПО ООО Автоком ""","0","","1","0","Тест формирования отчёта ""реестр Оформленных ТПО ООО Автоком ""","0"
"0","Док.Поступление в кассу","1","","0","0","док.Поступление","0"
"0","Док. Расход из кассы с контролем(Зарплата по ведомости)","1","","0","0","Док. Расход из кассы с контролем(Зарплата по ведомости)","0"
"0","Тест отчёт Непроходные, открытие формы","1","","0","0","Тест формирования отчёта ""Непроходные""","0"
"0","ТестКнопки ОбработкаГрупповоеНачислениеГрупповоеНачисление2","1","","0","0","Открытие номенклатуры","0"
"0","Док.Расход из кассы","0","","1","0","Док.Расход из кассы","0"
"0","Тест оформленные ТПО, открытие формы, кнопка сформировать","1","","0","0","Тест формирования отчёта ""оформленные ТПО""","0"
"0","Отчёт Себестоимость сотатков, все возможные кнопки","0","","1","0","Формирую отчёт сво всевозможными настройками","0"
"0","Док.Отчёт Агента> тч. услуги> добавить строку","1","","0","0","Добавить строку в тч Услуги документа отчёт агента","0"
"0","Секция переменные","0","","1","0","<описание сценария>","0"
"0","Спр.Изготовители объектов учёта","0","","1","0","<описание сценария>","0"
