"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6939","<описание сценария>","","Wed Nov 13 02:50:11 GMT 2024","failed","Wed Nov 13 02:50:18 GMT 2024","","Спр. Номенклатура, форма списка, создать копированем","",""
"","4270","Тест нажатия кнопки всех кнопочек отчёта Выпуски инпекторов","","Wed Nov 13 02:22:48 GMT 2024","passed","Wed Nov 13 02:22:52 GMT 2024","","Тест отчёт Выпуски инпекторов, сформировать","",""
"","4228","нажимаем ""Создать на основании расход со счёта""","","Wed Nov 13 02:16:33 GMT 2024","failed","Wed Nov 13 02:16:37 GMT 2024","","док.Приходная накладная форма списка","",""
"","8298","Док.Поступление на счёт форма списка кнопка создать по шаблону","","Wed Nov 13 02:11:57 GMT 2024","failed","Wed Nov 13 02:12:05 GMT 2024","","Док.Поступление на счёт форма списка","",""
"","1695","Подсистема клиенты> Все отчёты > форма выбора отчётов","","Wed Nov 13 02:37:20 GMT 2024","passed","Wed Nov 13 02:37:22 GMT 2024","","Подсистема клиенты> Все отчёты > форма","",""
"","17226","Открыть счёт учёта","","Wed Nov 13 02:21:08 GMT 2024","failed","Wed Nov 13 02:21:25 GMT 2024","","Переход в справочник контрагенты и открытие счёта учёта","",""
"","15662","<описание сценария>","","Wed Nov 13 02:16:54 GMT 2024","failed","Wed Nov 13 02:17:10 GMT 2024","","Док.Расходная накладная Кнопка изменить","",""
"","5136","<описание сценария>","","Wed Nov 13 02:16:39 GMT 2024","failed","Wed Nov 13 02:16:44 GMT 2024","","док. Приходная накладная форма элемента","",""
"","9863","Док. Расход со счёта, форма списка, кнопки ""создать копированием"",""Заполнение"", ""Отчёты""","","Wed Nov 13 02:34:17 GMT 2024","failed","Wed Nov 13 02:34:27 GMT 2024","","Док. Расход со счёта, форма списка","",""
"","17197","открываю отчёт Доходы и расходы, нажимаю сформировать","","Wed Nov 13 02:38:03 GMT 2024","failed","Wed Nov 13 02:38:20 GMT 2024","","Отчёт Доходы и Расходы","",""
"","32171","Спр.Организации","","Wed Nov 13 02:50:20 GMT 2024","failed","Wed Nov 13 02:50:52 GMT 2024","","Спр.Организации","",""
"","10222","<описание сценария>","","Wed Nov 13 02:52:21 GMT 2024","failed","Wed Nov 13 02:52:31 GMT 2024","","Спр.Порталы","",""
"","2438","док.Расход из кассы","","Wed Nov 13 02:34:09 GMT 2024","passed","Wed Nov 13 02:34:11 GMT 2024","","док.Расход из кассы","",""
"","17273","заполнение пропуска на сайте","","Wed Nov 13 02:21:45 GMT 2024","failed","Wed Nov 13 02:22:02 GMT 2024","","Обработка Заполнение пропусков","",""
"","12214","<описание сценария>","","Wed Nov 13 02:51:44 GMT 2024","failed","Wed Nov 13 02:51:56 GMT 2024","","Спр.ОУ тест фильтрации","",""
"","13926","Открытие спарвочника, нажатие кнопки.","","Wed Nov 13 02:25:02 GMT 2024","failed","Wed Nov 13 02:25:16 GMT 2024","","Спр. Контрагенты> форма списка> Купить > заказ поставщику","",""
"","16292","<описание сценария>","","Wed Nov 13 02:53:12 GMT 2024","failed","Wed Nov 13 02:53:28 GMT 2024","","спр.Реестры > создать элемент","",""
"","15162","<описание сценария>","","Wed Nov 13 02:50:54 GMT 2024","failed","Wed Nov 13 02:51:09 GMT 2024","","Спр.Органы выдачи ПТС Создание элемента","",""
"","113557","Тест формирования отчёта ""Реестр ТПО(ТП Бухгалтерия)""","","Wed Nov 13 02:43:15 GMT 2024","passed","Wed Nov 13 02:45:09 GMT 2024","","Тест ""Реестр ТПО(ТП Бухгалтерия)"", открытие формы, кнопка сформировать, кнопка отправить","",""
"","3455","Док.Перемещение","","Wed Nov 13 02:28:16 GMT 2024","passed","Wed Nov 13 02:28:20 GMT 2024","","Док.Перемещение денежных средств","",""
"","8243","открываю корректировку, нажимаю на поле покупатель","","Wed Nov 13 02:15:14 GMT 2024","failed","Wed Nov 13 02:15:22 GMT 2024","","Док.Корректировка долга> Кнопка заполнить на основании","",""
