"Дата","Автор","Банк / Касса","Операция","Откуда / куда","Сумма","Комментарий","Касса / счет","Номер","Назначение"
"22.06.2022","Аня","Касса","От покупателя","КИРИЛЛ МУРЗАКОВ","2 700,00, 2 700,00, $","","Валютная","00000001304",""
"15.07.2022","Аня","Касса","От покупателя","КИРИЛЛ МУРЗАКОВ","1 600,00, 1 600,00, $","","Валютная","00000001548",""
"20.07.2022","Аня","Касса","От покупателя","КИРИЛЛ МУРЗАКОВ","860,00, 860,00, $","","Валютная","00000001603",""
"28.07.2022","Аня","Касса","От покупателя","КИРИЛЛ МУРЗАКОВ","1 300,00, 1 300,00, $","","Валютная","00000001684",""
"02.08.2022","Аня","Касса","От покупателя","КИРИЛЛ МУРЗАКОВ","70,00, 70,00, $","","Валютная","00000001751",""
"26.08.2022","Аня","Касса","От покупателя","КИРИЛЛ МУРЗАКОВ","4 200,00, 4 200,00, $","","Валютная","00000002021",""
"03.09.2022","Аня","Касса","От покупателя","КИРИЛЛ МУРЗАКОВ","1 200,00, 1 200,00, $","","Валютная","00000002129",""
"20.09.2022","Аня","Касса","От покупателя","КИРИЛЛ МУРЗАКОВ","2 400,00, 2 400,00, $","","Валютная","00000002352",""
"18.10.2022","Аня","Касса","От покупателя","КИРИЛЛ МУРЗАКОВ","1 200,00, 1 200,00, $","","Валютная","00000002652",""
"20.10.2022","Аня","Касса","От покупателя","КИРИЛЛ МУРЗАКОВ","1 200,00, 1 200,00, $","","Валютная","00000002684",""
"21.10.2022","Аня","Касса","От покупателя","КИРИЛЛ МУРЗАКОВ","1 200,00, 1 200,00, $","","Валютная","00000002707",""
"28.10.2022","Аня","Касса","От покупателя","КИРИЛЛ МУРЗАКОВ","9 600,00, 9 600,00, $","","Валютная","00000002792",""
"28.10.2022","Аня","Касса","От покупателя","КИРИЛЛ МУРЗАКОВ","1 200,00, 1 200,00, $","","Валютная","00000002794",""
"07.11.2022","Аня","Касса","От покупателя","КИРИЛЛ МУРЗАКОВ","9 600,00, 9 600,00, $","","Валютная","00000002882",""
"11.11.2022","Аня","Касса","От покупателя","КИРИЛЛ МУРЗАКОВ","1 200,00, 1 200,00, $","","Валютная","00000002963",""
"29.11.2022","Аня","Касса","От покупателя","КИРИЛЛ МУРЗАКОВ","1 200,00, 1 200,00, $","","Валютная","00000003241",""
"02.12.2022","Аня","Касса","От покупателя","КИРИЛЛ МУРЗАКОВ","100,00, 100,00, $","","Валютная","00000003304",""
"15.12.2022","Аня","Касса","От покупателя","КИРИЛЛ МУРЗАКОВ","1 300,00, 1 300,00, $","","Валютная","00000003488",""
"17.01.2023","Аня","Касса","От покупателя","КИРИЛЛ МУРЗАКОВ","1 210,00, 1 210,00, $","VITZ 2383","Валютная","00000000128",""
"25.01.2023","Аня","Касса","От покупателя","КИРИЛЛ МУРЗАКОВ","3 600,00, 3 600,00, $","","Валютная","00000000268",""
"02.02.2023","Аня","Касса","От покупателя","КИРИЛЛ МУРЗАКОВ","4 800,00, 4 800,00, $","","Валютная","00000000379",""
"06.02.2023","Аня","Касса","От покупателя","КИРИЛЛ МУРЗАКОВ","2 450,00, 2 450,00, $","","Валютная","00000000446",""
